"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"DNAJC8",1.16602941849535e-27,-0.418828177525039,0.251,0.397,2.38231470492786e-23,"B_Cells","DNAJC8"
"RSL24D1",1.18137535996178e-27,-0.402068484475732,0.504,0.581,2.41366799793792e-23,"B_Cells","RSL24D1"
"METAP2",1.2137349384279e-27,-0.385657648978198,0.17,0.329,2.47978185270204e-23,"B_Cells","METAP2"
"LTBP2.1",1.28751945219359e-27,-0.474137938876241,0.006,0.126,2.63053099277673e-23,"B_Cells","LTBP2"
"CISD1",1.35711491397312e-27,-0.364137451557846,0.069,0.213,2.77272148073848e-23,"B_Cells","CISD1"
"PSMG2",1.38218538469197e-27,-0.372795143931871,0.209,0.369,2.82394295946416e-23,"B_Cells","PSMG2"
"HNRNPU",1.41146936992481e-27,-0.366226768471946,0.357,0.51,2.88377306969338e-23,"B_Cells","HNRNPU"
"PIN1",1.54891591524674e-27,-0.45511715452265,0.18,0.318,3.16459010644061e-23,"B_Cells","PIN1"
"FAM200B",1.59372618396749e-27,-0.319696476417202,0.035,0.171,3.25614196646399e-23,"B_Cells","FAM200B"
"MID1IP1",1.63378478438846e-27,-0.39833043556325,0.044,0.181,3.33798569298406e-23,"B_Cells","MID1IP1"
"GLUD1",1.74326817438937e-27,-0.375023530173969,0.132,0.288,3.56167120709492e-23,"B_Cells","GLUD1"
"MS4A4A.1",1.77741421663854e-27,-0.673560320533407,0.019,0.144,3.63143498601421e-23,"B_Cells","MS4A4A"
"ANXA7",1.78105225191232e-27,-0.410610931302488,0.321,0.449,3.63886785588206e-23,"B_Cells","ANXA7"
"EI24.1",1.90238540147891e-27,-0.415772080996819,0.139,0.283,3.88676361376157e-23,"B_Cells","EI24"
"RASIP1.1",1.97145442760676e-27,-0.435376956610014,0.01,0.13,4.02787854104337e-23,"B_Cells","RASIP1"
"MIR4458HG",1.9780671165789e-27,-0.299403962456315,0.011,0.132,4.04138892588235e-23,"B_Cells","MIR4458HG"
"ENAH.1",2.0407549109985e-27,-0.317007497999099,0.005,0.122,4.16946635866104e-23,"B_Cells","ENAH"
"ACTR3.1",2.06804902430367e-27,-0.380689657014425,0.32,0.486,4.22523096155483e-23,"B_Cells","ACTR3"
"CTBP2",2.08800187189156e-27,-0.258926336780339,0.004,0.121,4.26599662446165e-23,"B_Cells","CTBP2"
"GHITM",2.16957596228268e-27,-0.427411994294725,0.383,0.485,4.43266064853975e-23,"B_Cells","GHITM"
"CP.1",2.21709304915693e-27,-0.460395372073379,0.011,0.132,4.52974280873252e-23,"B_Cells","CP"
"C16orf45.1",2.22798782466211e-27,-0.275848832684445,0.015,0.141,4.55200192456715e-23,"B_Cells","C16orf45"
"JAM2.1",2.32470215486461e-27,-0.356161589561942,0.013,0.135,4.74959897260389e-23,"B_Cells","JAM2"
"CCT3",2.55327005530547e-27,-0.381747434913704,0.219,0.378,5.2165860499946e-23,"B_Cells","CCT3"
"HTRA3.1",2.63286516679424e-27,-0.705583288953036,0.017,0.141,5.37920682227731e-23,"B_Cells","HTRA3"
"UQCR10",2.79441095493066e-27,-0.424275051471626,0.453,0.537,5.70926102201883e-23,"B_Cells","UQCR10"
"KLF6",2.87835820844934e-27,-0.622656245264045,0.354,0.475,5.88077365568285e-23,"B_Cells","KLF6"
"TMEM87A.1",2.88407861981744e-27,-0.403750112782251,0.117,0.267,5.892461028149e-23,"B_Cells","TMEM87A"
"STRAP",3.04251964906436e-27,-0.402564306383422,0.242,0.392,6.21617189500339e-23,"B_Cells","STRAP"
"SNX7",3.09888031523379e-27,-0.250785234693581,0.001,0.115,6.33132237205415e-23,"B_Cells","SNX7"
"NFKBID.1",3.10852332631882e-27,0.390401318065497,0.168,0.072,6.35102400800198e-23,"B_Cells","NFKBID"
"PMAIP1.1",3.44405565093238e-27,0.283994814262255,0.176,0.074,7.03655010041994e-23,"B_Cells","PMAIP1"
"FAM129A",4.15218187545378e-27,-0.37879586605463,0.035,0.166,8.48332278973961e-23,"B_Cells","FAM129A"
"GYG1",4.4574507431228e-27,-0.459326996023516,0.16,0.3,9.10701761327419e-23,"B_Cells","GYG1"
"SORBS2.1",4.69937186811569e-27,-0.630142887108512,0.03,0.157,9.60128666374717e-23,"B_Cells","SORBS2"
"TBCA",4.84043297336306e-27,-0.387744299882217,0.472,0.559,9.88948860787806e-23,"B_Cells","TBCA"
"UBA2.1",5.12948387473638e-27,-0.448220888420836,0.144,0.3,1.04800485044739e-22,"B_Cells","UBA2"
"CARD19",5.82843862486121e-27,-0.351505213340511,0.07,0.211,1.19080829544539e-22,"B_Cells","CARD19"
"EDIL3.1",6.01695148567366e-27,-0.354768029263736,0.005,0.121,1.22932335803799e-22,"B_Cells","EDIL3"
"FPR1.1",6.12532827046602e-27,-0.504248967441423,0.015,0.136,1.25146581893891e-22,"B_Cells","FPR1"
"MAOB.1",6.31894913077893e-27,-0.320281556748417,0.004,0.12,1.29102449690944e-22,"B_Cells","MAOB"
"IFI6",6.43301273819041e-27,-0.565297759166649,0.117,0.26,1.31432883253968e-22,"B_Cells","IFI6"
"RP11-983P16.4.1",6.44358308047926e-27,-0.303920892330477,0.012,0.132,1.31648845917272e-22,"B_Cells","RP11-983P16.4"
"TRIOBP",6.54153038870086e-27,-0.308069468709447,0.024,0.15,1.33650007371547e-22,"B_Cells","TRIOBP"
"PID1.1",6.87089820343141e-27,-0.284763908388047,0.01,0.128,1.40379321194307e-22,"B_Cells","PID1"
"SEPT4.1",7.13208072530296e-27,-0.373649327546544,0.012,0.13,1.45715541298665e-22,"B_Cells","SEPT4"
"POLE4",7.76191687081759e-27,-0.365349708465554,0.141,0.301,1.58583723587674e-22,"B_Cells","POLE4"
"PSME1",7.79584551951985e-27,-0.356905940309238,0.595,0.655,1.5927691980931e-22,"B_Cells","PSME1"
"RRAS.1",7.88392223954784e-27,-0.365820735923238,0.036,0.165,1.61076415276202e-22,"B_Cells","RRAS"
"SEPT11",8.41385562842944e-27,-0.323616951657389,0.034,0.166,1.71903484344442e-22,"B_Cells","SEPT11"
"GNAS",8.95878291615148e-27,-0.457922638376932,0.416,0.513,1.83036893759891e-22,"B_Cells","GNAS"
"GLT8D2.1",9.04309363327303e-27,-0.273240342956097,0.008,0.124,1.84759446021401e-22,"B_Cells","GLT8D2"
"GNB4",1.02566111440129e-26,-0.274577084179586,0.019,0.143,2.09552822283327e-22,"B_Cells","GNB4"
"ABI3BP.1",1.15964306044972e-26,-0.346247586671796,0.009,0.126,2.36926673680482e-22,"B_Cells","ABI3BP"
"CLDND1",1.21553594998349e-26,-0.37522160945488,0.097,0.246,2.48346149941127e-22,"B_Cells","CLDND1"
"POLR2E",1.293395314408e-26,-0.396125241924383,0.235,0.375,2.64253596686699e-22,"B_Cells","POLR2E"
"LIMS2.1",1.35129019631026e-26,-0.330023995786982,0.023,0.146,2.76082100008148e-22,"B_Cells","LIMS2"
"MSR1.1",1.39288498936705e-26,-0.627011005809383,0.021,0.143,2.84580332177583e-22,"B_Cells","MSR1"
"RANBP1",1.41312026245525e-26,-0.382155468482203,0.298,0.44,2.88714600822233e-22,"B_Cells","RANBP1"
"HEG1.1",1.47979507225766e-26,-0.33788738450136,0.005,0.12,3.02336931212963e-22,"B_Cells","HEG1"
"IFI30.1",1.50209985763664e-26,0.340271119969928,0.18,0.078,3.06894021913741e-22,"B_Cells","IFI30"
"IER2",1.64812968009576e-26,-0.434941933006348,0.67,0.682,3.36729374940364e-22,"B_Cells","IER2"
"BTG3.1",1.68341215454592e-26,-0.447050189641082,0.114,0.253,3.43937937295277e-22,"B_Cells","BTG3"
"MEOX2.1",1.76603083357167e-26,-0.325141546682563,0.002,0.114,3.60817759607028e-22,"B_Cells","MEOX2"
"C3AR1.1",1.79487651184023e-26,-0.436587825149337,0.012,0.129,3.66711220134078e-22,"B_Cells","C3AR1"
"MTDH",1.88951279116514e-26,-0.398096422051848,0.466,0.559,3.86046358362949e-22,"B_Cells","MTDH"
"VIT.1",2.1360671680456e-26,-0.388782330228021,0.002,0.113,4.36419883103397e-22,"B_Cells","VIT"
"FNTA",2.22527283457059e-26,-0.319141267911403,0.133,0.296,4.54645492831117e-22,"B_Cells","FNTA"
"ZNF503",2.481788334098e-26,-0.324004920232943,0.009,0.124,5.07054174539561e-22,"B_Cells","ZNF503"
"OAF.1",2.53986249689568e-26,-0.350596822614097,0.011,0.127,5.18919306740756e-22,"B_Cells","OAF"
"TPBG",2.60526860850261e-26,-0.268831685006824,0.003,0.115,5.32282429403168e-22,"B_Cells","TPBG"
"RPS10",2.75412202168993e-26,0.466680093570791,0.988,0.903,5.62694670251469e-22,"B_Cells","RPS10"
"POSTN.1",2.83040846387724e-26,-0.576575075209145,0.01,0.125,5.78280753254759e-22,"B_Cells","POSTN"
"PSMB7",2.90945443288341e-26,-0.417910128284322,0.275,0.404,5.9443063518241e-22,"B_Cells","PSMB7"
"PXN",3.28694774077381e-26,-0.325002960479638,0.015,0.133,6.71556292917496e-22,"B_Cells","PXN"
"EIF1B",3.34873096567002e-26,-0.409498933424867,0.28,0.416,6.84179223596042e-22,"B_Cells","EIF1B"
"EMCN.1",3.63939334421689e-26,-0.456372449158892,0.009,0.123,7.43564454156953e-22,"B_Cells","EMCN"
"MSRB2",3.83672935466718e-26,-0.365124698170743,0.074,0.209,7.83882174452051e-22,"B_Cells","MSRB2"
"EBF1.1",4.21242408386615e-26,-0.384708227700469,0.08,0.232,8.60640364574692e-22,"B_Cells","EBF1"
"PRDX2.1",5.29650280124644e-26,-0.493149864897996,0.417,0.482,1.08212848732266e-21,"B_Cells","PRDX2"
"BCAP31",5.43916220387502e-26,-0.428994250733494,0.31,0.431,1.1112752298737e-21,"B_Cells","BCAP31"
