"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CLEC7A.4",4.50229581632842e-40,-0.319222516873214,0.008,0.116,9.19864058234059e-36,"EC","CLEC7A"
"FCGR2B.3",4.78727559052275e-40,-0.369994442437928,0.007,0.114,9.78088275899703e-36,"EC","FCGR2B"
"DOK2.4",4.88448981343903e-40,-0.305746496697301,0.006,0.112,9.97950113783729e-36,"EC","DOK2"
"FBXO32.4",5.4965947377123e-40,-0.318666661708756,0.009,0.118,1.123009270862e-35,"EC","FBXO32"
"EDIL3.3",7.10893603143201e-40,-0.341883964319465,0.015,0.128,1.45242672058187e-35,"EC","EDIL3"
"FLYWCH2",8.30605415864676e-40,0.250333508180929,0.265,0.137,1.69700992515312e-35,"EC","FLYWCH2"
"DDIT4.2",9.61553000052076e-40,0.345142990446436,0.592,0.437,1.9645489344064e-35,"EC","DDIT4"
"ARHGDIB.3",1.00980710767331e-39,-0.539087803714624,0.493,0.591,2.06313690168734e-35,"EC","ARHGDIB"
"ANXA5.3",1.14103456137622e-39,-0.402268504120973,0.572,0.656,2.33124771234776e-35,"EC","ANXA5"
"HTRA3.3",1.17154048949011e-39,-0.691612258576205,0.029,0.148,2.39357437407725e-35,"EC","HTRA3"
"ANG",1.41525535014856e-39,-0.291710664509851,0.045,0.175,2.89150820588853e-35,"EC","ANG"
"NEGR1",1.8902877805568e-39,-0.299329806999076,0.003,0.106,3.86204696445561e-35,"EC","NEGR1"
"RASSF5.2",2.21342764875627e-39,-0.307248939703969,0.006,0.11,4.52225402917394e-35,"EC","RASSF5"
"EGR2",2.36073086404474e-39,0.307830876395482,0.164,0.067,4.82320922832981e-35,"EC","EGR2"
"MYADM.3",2.48468416009265e-39,-0.39450229475288,0.171,0.33,5.0764582074853e-35,"EC","MYADM"
"HCK.3",3.0826007315219e-39,-0.276462925504415,0.004,0.106,6.29806155457239e-35,"EC","HCK"
"TMEM45A.2",3.36773490157466e-39,-0.273896801866391,0.021,0.137,6.88061917740719e-35,"EC","TMEM45A"
"ERRFI1.4",3.51559857155888e-39,-0.362490721819234,0.036,0.16,7.18271944155195e-35,"EC","ERRFI1"
"HNRNPD",3.75405634972939e-39,0.267696506945731,0.375,0.228,7.66991252813212e-35,"EC","HNRNPD"
"TTLL7.4",4.06432103935087e-39,-0.278185343248452,0.012,0.121,8.30381431549776e-35,"EC","TTLL7"
"ITGBL1.2",4.25255010916385e-39,-0.307374304792191,0.005,0.109,8.68838512803267e-35,"EC","ITGBL1"
"TRAC.3",4.32014966339973e-39,-0.706864655919831,0.008,0.114,8.82649777729199e-35,"EC","TRAC"
"CEBPZ.2",5.26203262823438e-39,0.254113848548114,0.361,0.212,1.07508588627457e-34,"EC","CEBPZ"
"CFH.4",5.295607399377e-39,-1.25206635176672,0.317,0.416,1.08194554776672e-34,"EC","CFH"
"HMHA1.3",5.61146260536325e-39,-0.308581899154783,0.014,0.125,1.14647792490177e-34,"EC","HMHA1"
"FOSB.1",6.73519952081887e-39,-0.560514685795757,0.19,0.343,1.3760686140985e-34,"EC","FOSB"
"PMM1",8.57496716724862e-39,-0.251232338034312,0.018,0.131,1.75195154194057e-34,"EC","PMM1"
"FBLIM1.4",9.23505162435957e-39,-0.375000213053744,0.06,0.195,1.8868133973729e-34,"EC","FBLIM1"
"CYTH4.3",1.15183736439567e-38,-0.265894588307031,0.006,0.11,2.35331891919678e-34,"EC","CYTH4"
"SAT1.3",1.15992899141642e-38,-0.710465569450263,0.612,0.691,2.36985092236288e-34,"EC","SAT1"
"HDDC2.2",1.5833575385429e-38,-0.296886114382166,0.079,0.22,3.234957786997e-34,"EC","HDDC2"
"ARL6IP1.1",1.93379131158964e-38,0.308126977805521,0.58,0.425,3.95092902870879e-34,"EC","ARL6IP1"
"GPR34.4",1.94045508640776e-38,-0.389479102317749,0.007,0.11,3.9645437870397e-34,"EC","GPR34"
"TYMP.3",3.1509856077424e-38,-0.605603855284091,0.269,0.41,6.4377786951785e-34,"EC","TYMP"
"PPP1CB.1",4.00781215104931e-38,-0.480515361773243,0.422,0.551,8.18836100580885e-34,"EC","PPP1CB"
"PLA2G5.4",4.42845916089055e-38,-0.306404133091863,0.012,0.118,9.04778491161549e-34,"EC","PLA2G5"
"RNF149.4",4.48614176244137e-38,-0.407004468254735,0.125,0.27,9.16563623484397e-34,"EC","RNF149"
"ANTXR1.1",6.07959917807444e-38,-0.258123637774726,0.012,0.119,1.24212290807239e-33,"EC","ANTXR1"
"RAP1B.2",6.11010055739297e-38,0.263407047147813,0.489,0.332,1.24835464488096e-33,"EC","RAP1B"
"MMP23B.1",7.18202397436393e-38,-0.309265327781534,0.008,0.11,1.46735931820229e-33,"EC","MMP23B"
"SEPT1.1",8.05614246674731e-38,-0.317555966018875,0.021,0.132,1.64595046738114e-33,"EC","SEPT1"
"CALM2.3",1.01100161149862e-37,-0.4099715956901,0.905,0.883,2.06557739245282e-33,"EC","CALM2"
"TMED3.1",1.08151080994709e-37,-0.30662013808326,0.113,0.261,2.20963473580291e-33,"EC","TMED3"
"RBPJ.4",1.20295181616262e-37,-0.382489962265695,0.207,0.363,2.45775085560184e-33,"EC","RBPJ"
"GUCY1A3.4",1.27771664115254e-37,-0.371933049970692,0.034,0.153,2.61050286953876e-33,"EC","GUCY1A3"
"LINC01420.1",1.3803404923739e-37,0.267237978377818,0.451,0.299,2.82017365996911e-33,"EC","LINC01420"
"SMARCD3.1",1.45498113657073e-37,-0.253248580469548,0.006,0.107,2.97267196012766e-33,"EC","SMARCD3"
"CARMN.1",1.57771035068013e-37,-0.309867375934294,0.006,0.107,3.22342001747458e-33,"EC","CARMN"
"RASGRP2",2.00854866006563e-37,-0.27181011094066,0.012,0.117,4.10366576738009e-33,"EC","RASGRP2"
"GSN.4",2.09394880187752e-37,-0.880192503319401,0.972,0.777,4.27814679711596e-33,"EC","GSN"
"MDH1",2.42868450464602e-37,-0.303829677188374,0.179,0.339,4.96204531144228e-33,"EC","MDH1"
"MPC1.1",2.82287649287935e-37,-0.300249534893516,0.142,0.299,5.76741896260179e-33,"EC","MPC1"
"ABI3BP.3",3.32224593001715e-37,-0.327103919757679,0.022,0.133,6.78768065961803e-33,"EC","ABI3BP"
"SLC20A1",3.35854936544297e-37,0.256415930604585,0.24,0.121,6.86185220853654e-33,"EC","SLC20A1"
"FMO2.4",3.6886366221622e-37,-0.581054137513412,0.072,0.201,7.53625348273959e-33,"EC","FMO2"
"CREG1.3",3.87192951946708e-37,-0.352516167836572,0.159,0.312,7.91073920122319e-33,"EC","CREG1"
"NDN.4",4.09499812508195e-37,-0.362625380986408,0.123,0.267,8.36649066935493e-33,"EC","NDN"
"C1orf198.4",4.97217235470164e-37,-0.330970660663596,0.04,0.161,1.01586453378909e-32,"EC","C1orf198"
"NOV.3",5.52272717163009e-37,-0.812876982124857,0.049,0.171,1.12834838843574e-32,"EC","NOV"
"ITGA7.4",6.03975060028467e-37,-0.28654370931765,0.012,0.116,1.23398144514416e-32,"EC","ITGA7"
"LAIR1.3",6.26740656522468e-37,-0.287703504086387,0.013,0.118,1.28049383534105e-32,"EC","LAIR1"
"LRRC17.1",6.85166048526429e-37,-0.302609283514363,0.004,0.101,1.39986275374435e-32,"EC","LRRC17"
"CRIP1.3",7.10261494935014e-37,-0.449767689623077,0.169,0.322,1.45113526030173e-32,"EC","CRIP1"
"SERPINA1.4",7.50048186505087e-37,-0.381974389508213,0.01,0.112,1.53242344984854e-32,"EC","SERPINA1"
"MAMDC2.1",8.28280277014804e-37,-0.28264755975943,0.004,0.102,1.69225943396895e-32,"EC","MAMDC2"
"IQGAP2.1",9.20032226373279e-37,-0.29518714186378,0.004,0.101,1.87971784170325e-32,"EC","IQGAP2"
"GNG5.2",9.61960850394903e-37,0.283981516396877,0.622,0.482,1.96538221344183e-32,"EC","GNG5"
"ADAM9.3",9.88273274138713e-37,-0.273093248073324,0.054,0.181,2.01914112639281e-32,"EC","ADAM9"
"LAT2.2",1.14088037259224e-36,-0.257876719754255,0.006,0.105,2.33093268924321e-32,"EC","LAT2"
"XBP1.1",1.19071202037104e-36,-0.479901739697611,0.431,0.545,2.43274372882007e-32,"EC","XBP1"
"EZR.3",1.23706556011541e-36,-0.429196656389098,0.121,0.263,2.52744864587179e-32,"EC","EZR"
"LAMA2",1.56084005208188e-36,-0.293092306239713,0.006,0.105,3.18895231040848e-32,"EC","LAMA2"
"EIF5B.2",3.22640806159006e-36,0.255361119757341,0.562,0.414,6.59187431063465e-32,"EC","EIF5B"
"MYO1F.3",3.40325690320656e-36,-0.286661585649855,0.015,0.119,6.95319417894132e-32,"EC","MYO1F"
"GLUL.4",3.73194115658659e-36,-0.426077785738405,0.407,0.532,7.62472897702206e-32,"EC","GLUL"
"RHOB.3",3.94245726868544e-36,-0.32981483332914,0.253,0.427,8.05483444565123e-32,"EC","RHOB"
"BTG1.3",4.79550127251634e-36,-0.563251124948504,0.599,0.698,9.79768864987813e-32,"EC","BTG1"
"PI16.3",5.07994833805466e-36,-0.712621972674658,0.034,0.147,1.03788424494795e-31,"EC","PI16"
"PIK3IP1.1",5.25927740017886e-36,-0.371506997651755,0.068,0.197,1.07452296563054e-31,"EC","PIK3IP1"
"CTSK.2",5.73245937545245e-36,-0.293680114258135,0.016,0.121,1.17119877499869e-31,"EC","CTSK"
"ICAM3.3",6.25042978684902e-36,-0.379021492759404,0.047,0.167,1.27702530975112e-31,"EC","ICAM3"
"PDE1A.3",7.50780230741295e-36,-0.260462576320367,0.011,0.111,1.53391908942754e-31,"EC","PDE1A"
"CD79A.5",7.94258101888907e-36,-0.625156969172599,0.013,0.114,1.62274872796923e-31,"EC","CD79A"
"BCAP31.2",1.05923169860494e-35,0.27638357998966,0.54,0.396,2.16411628341974e-31,"EC","BCAP31"
"PDGFRA.3",1.33507258412059e-35,-0.301004083973168,0.013,0.114,2.72768679661678e-31,"EC","PDGFRA"
"SPON2",1.53776239330647e-35,-0.336869081522456,0.007,0.104,3.14180234576444e-31,"EC","SPON2"
"SLC39A6",1.55657978190256e-35,-0.260968604729918,0.039,0.157,3.18024815240512e-31,"EC","SLC39A6"
"BNIP2.1",1.68117129348249e-35,0.254369370209672,0.381,0.239,3.43480106971408e-31,"EC","BNIP2"
"PPM1K.2",1.699766161935e-35,-0.278843927108175,0.031,0.145,3.4727922454494e-31,"EC","PPM1K"
"STXBP2.3",2.02561947637597e-35,-0.258693252446697,0.018,0.123,4.13854315218375e-31,"EC","STXBP2"
"DNAJB9.3",3.46222970086201e-35,-0.335351057126121,0.128,0.273,7.07368150183117e-31,"EC","DNAJB9"
"CCL3L3.4",5.00221474966267e-35,-0.967610644444357,0.016,0.117,1.02200249550358e-30,"EC","CCL3L3"
"PDLIM3.5",6.33326099113205e-35,-0.642718513263025,0.166,0.294,1.29394855309819e-30,"EC","PDLIM3"
"UFC1",1.06080396548766e-34,0.250114183506661,0.549,0.406,2.16732858188784e-30,"EC","UFC1"
"CXCL14.3",1.18663935896253e-34,-1.33677947558029,0.038,0.149,2.42442287429635e-30,"EC","CXCL14"
"RGMA.1",1.48526505897059e-34,-0.273140541975869,0.016,0.117,3.0345450419828e-30,"EC","RGMA"
"PHLDA1.4",1.53866162674253e-34,-0.4031695043552,0.02,0.123,3.14363956959766e-30,"EC","PHLDA1"
"HEBP1.1",1.87599306970192e-34,0.253257895696334,0.336,0.205,3.832841440708e-30,"EC","HEBP1"
"PLEK.2",2.19632609785939e-34,-0.270696795698942,0.007,0.101,4.48731385053652e-30,"EC","PLEK"
"CTNNB1.1",2.54357300304592e-34,0.386367266765037,0.472,0.324,5.19677400252313e-30,"EC","CTNNB1"
"PSME2.1",2.56389850676812e-34,0.25414900466392,0.534,0.385,5.23830103917794e-30,"EC","PSME2"
"LRPAP1.2",2.94200131059506e-34,-0.332548045879087,0.323,0.477,6.01080287767677e-30,"EC","LRPAP1"
"CCL4L2.3",2.9632509994886e-34,-0.846808460691133,0.013,0.11,6.05421811705517e-30,"EC","CCL4L2"
"NENF.3",3.21460367214501e-34,-0.336198041015774,0.383,0.527,6.56775676255946e-30,"EC","NENF"
"TNFAIP8",5.28994680426348e-34,-0.268188676643046,0.023,0.128,1.08078903157907e-29,"EC","TNFAIP8"
"EIF3I.1",7.33860615875572e-34,0.25116823873358,0.565,0.429,1.49935062429538e-29,"EC","EIF3I"
"TGIF1.1",8.3754878461358e-34,-0.310705416893987,0.065,0.187,1.711195921844e-29,"EC","TGIF1"
"PIM2.3",9.15694874308662e-34,-0.388365237489427,0.027,0.132,1.87085619770003e-29,"EC","PIM2"
"IFI27L2.2",9.68506205030917e-34,-0.298280540428574,0.193,0.349,1.97875502749867e-29,"EC","IFI27L2"
"CD27.2",1.02474090046673e-33,-0.298346861032111,0.008,0.101,2.09364813374357e-29,"EC","CD27"
"DHRS3.1",1.177317525283e-33,-0.399283429600446,0.079,0.206,2.40537743590569e-29,"EC","DHRS3"
"EIF3J.1",1.39199305434179e-33,0.267307280334231,0.402,0.267,2.84398100932571e-29,"EC","EIF3J"
"P4HB.2",1.95019761707179e-33,-0.337575320360285,0.506,0.617,3.98444875143938e-29,"EC","P4HB"
"CSTA.2",1.98151747654876e-33,-0.265508125777894,0.009,0.102,4.04843835633678e-29,"EC","CSTA"
"CTSS.3",4.66265174702684e-33,-0.646396588014789,0.169,0.295,9.52626378435053e-29,"EC","CTSS"
"MID1IP1.1",6.50863982124428e-33,-0.319540192408629,0.065,0.188,1.32978020187842e-28,"EC","MID1IP1"
"ATP5G3.1",8.81534522116647e-33,-0.3020405333681,0.433,0.572,1.80106318213652e-28,"EC","ATP5G3"
"WIPF1.3",1.27047936856528e-32,-0.319446053961786,0.064,0.183,2.59571639791573e-28,"EC","WIPF1"
"PCDH9.4",1.43417338229359e-32,-0.347779156408276,0.025,0.126,2.93015963736402e-28,"EC","PCDH9"
"LDHB.4",1.9862292914298e-32,-0.3515298626963,0.451,0.575,4.05806506532023e-28,"EC","LDHB"
"DNPH1",2.49318487119002e-32,-0.255770430038388,0.088,0.217,5.09382601032834e-28,"EC","DNPH1"
"IFI30.3",3.12244090402106e-32,-0.287561794319529,0.011,0.102,6.37945901100543e-28,"EC","IFI30"
"UBE2E2.1",3.43779361709952e-32,-0.260470275089658,0.077,0.201,7.02375613909604e-28,"EC","UBE2E2"
"CRISPLD1.2",4.87726353141374e-32,-0.264867184775958,0.014,0.108,9.9647371210314e-28,"EC","CRISPLD1"
"SERPING1.5",7.19586785837781e-32,-0.872070843470735,0.642,0.61,1.47018776214517e-27,"EC","SERPING1"
"FOXO3.2",1.4692645806171e-31,-0.304446833554782,0.106,0.236,3.0018544646588e-27,"EC","FOXO3"
"S1PR2",1.67244060244681e-31,-0.261086370738298,0.013,0.104,3.41696339485907e-27,"EC","S1PR2"
"CST7.1",1.94060447846622e-31,-0.632085702902183,0.014,0.105,3.96484900995433e-27,"EC","CST7"
"SDC4.2",2.22534789729263e-31,-0.281607589502996,0.015,0.108,4.54660828895857e-27,"EC","SDC4"
"KLF10.1",2.49651532165966e-31,0.26944948479409,0.406,0.269,5.10063045368286e-27,"EC","KLF10"
"MRC1.4",5.33694117505481e-31,-0.369034305668637,0.021,0.117,1.09039045147545e-26,"EC","MRC1"
"CPVL.4",6.5893247943084e-31,-0.511657536927296,0.07,0.182,1.34626494872515e-26,"EC","CPVL"
"ZFHX3.1",9.91161455365214e-31,-0.251373519462487,0.043,0.151,2.02504196945667e-26,"EC","ZFHX3"
"MYLK.4",1.18899352140025e-30,-0.647496028176596,0.108,0.222,2.42923266357285e-26,"EC","MYLK"
"C12orf57.4",1.67773405211904e-30,-0.359498245129069,0.423,0.539,3.4277784418844e-26,"EC","C12orf57"
"LIMD2.2",1.73233192473803e-30,-0.387043704297387,0.047,0.152,3.53932735543228e-26,"EC","LIMD2"
"SLC25A4.4",2.64117272404024e-30,-0.367963139440366,0.111,0.234,5.3961799924866e-26,"EC","SLC25A4"
"MAP3K8.2",4.53398836283798e-30,-0.29217236691117,0.069,0.184,9.26339162411428e-26,"EC","MAP3K8"
"CKLF.4",6.33358171220785e-30,-0.44183050963663,0.171,0.299,1.29401407962119e-25,"EC","CKLF"
"ADRM1",6.69289579675652e-30,0.264626935044235,0.466,0.342,1.36742554023532e-25,"EC","ADRM1"
"SOD2.2",7.20950486378202e-30,-0.570168629997305,0.252,0.379,1.4729739387193e-25,"EC","SOD2"
"DEGS1.2",8.51921217603927e-30,-0.322510549362336,0.217,0.358,1.74056023968658e-25,"EC","DEGS1"
"C10orf10.4",1.99840005410645e-29,-0.625795846403434,0.121,0.251,4.08293115054488e-25,"EC","C10orf10"
"DBI.3",2.23238694513042e-29,-0.372196828066309,0.384,0.513,4.56098976759597e-25,"EC","DBI"
"COX17.1",2.96279378243083e-29,0.31018150727648,0.533,0.41,6.05328397688444e-25,"EC","COX17"
"LAMP1.1",3.35096965584336e-29,-0.323527370472991,0.491,0.599,6.84636610385357e-25,"EC","LAMP1"
"VMO1.3",3.38644188958685e-29,-0.400950026043988,0.018,0.106,6.91883942461489e-25,"EC","VMO1"
"TMED10.1",3.43996897219714e-29,-0.309586440432075,0.351,0.487,7.02820060709598e-25,"EC","TMED10"
"ZBTB16.4",4.11373332387508e-29,-0.307389969416432,0.086,0.203,8.40476855400917e-25,"EC","ZBTB16"
"SGCB.3",4.48543023120883e-29,-0.264073499385996,0.052,0.157,9.16418250538277e-25,"EC","SGCB"
"CDK2AP2",4.5083488310339e-29,-0.272065297493914,0.112,0.24,9.21100749668537e-25,"EC","CDK2AP2"
"HLA-DRB5.4",6.52145128035528e-29,0.280806143475865,0.215,0.113,1.33239771108939e-24,"EC","HLA-DRB5"
"ZNF503.1",1.11816612267863e-28,-0.268357874702525,0.032,0.128,2.28452520524471e-24,"EC","ZNF503"
"SFT2D1.1",1.43271512004739e-28,-0.292312456482508,0.203,0.343,2.92718026176883e-24,"EC","SFT2D1"
"CCL5.1",1.4582857800092e-28,-1.0100074696068,0.018,0.104,2.9794236771368e-24,"EC","CCL5"
"PPT1.3",1.81003869343633e-28,-0.372291186789172,0.293,0.414,3.69809005455976e-24,"EC","PPT1"
"CTD-3252C9.4",1.92330687631053e-28,-0.295347471354441,0.034,0.13,3.92950827899004e-24,"EC","CTD-3252C9.4"
"IAH1",2.20404939824858e-28,-0.269202349980029,0.155,0.291,4.50309332556168e-24,"EC","IAH1"
"LARP6.3",6.62623020936842e-28,-0.286900235035098,0.067,0.176,1.35380509407606e-23,"EC","LARP6"
"FILIP1L.3",8.99596120751676e-28,-0.526669002881915,0.191,0.321,1.83796483430775e-23,"EC","FILIP1L"
"ECHDC2.3",9.12822759405165e-28,-0.254891155108657,0.054,0.158,1.86498817974069e-23,"EC","ECHDC2"
"HCFC1R1.4",1.005874408393e-27,-0.395824757319758,0.178,0.3,2.05510200378774e-23,"EC","HCFC1R1"
"PGF.4",1.23112373554446e-27,-0.284208959133899,0.023,0.111,2.51530890409089e-23,"EC","PGF"
"SSR4.2",1.91703311778821e-27,-0.446286626527345,0.686,0.719,3.91669036295309e-23,"EC","SSR4"
"CST3.4",2.54140350801056e-27,-0.626643017180359,0.962,0.831,5.19234150721637e-23,"EC","CST3"
"TGFB1I1.5",3.50387876026137e-27,-0.426943867897986,0.193,0.307,7.15877469509e-23,"EC","TGFB1I1"
"GATM.2",6.61141402533623e-27,-0.254208108448123,0.026,0.113,1.35077799951645e-22,"EC","GATM"
"DYNLT3.1",9.04986526534305e-27,-0.277114046864564,0.161,0.288,1.84897797236224e-22,"EC","DYNLT3"
"PFN2.4",1.40271750051141e-26,-0.313061105856891,0.094,0.204,2.86589212529486e-22,"EC","PFN2"
"APOD.5",2.10638950373278e-26,-2.81307281972452,0.454,0.524,4.30356439507644e-22,"EC","APOD"
"SERPINE2.3",2.53802564166051e-26,-0.423956997752845,0.048,0.147,5.18544018847659e-22,"EC","SERPINE2"
"JADE1.3",2.71494518875038e-26,-0.264101841969974,0.064,0.168,5.54690451513589e-22,"EC","JADE1"
"ISYNA1.4",3.32955621990745e-26,-0.443156286582816,0.088,0.192,6.80261631289291e-22,"EC","ISYNA1"
"LHFP.5",3.8504428114331e-26,-0.551997444432506,0.31,0.394,7.86683970803896e-22,"EC","LHFP"
"FKBP5.1",4.6407815480215e-26,-0.271177013639425,0.072,0.176,9.48158078076274e-22,"EC","FKBP5"
"PLAU.2",4.79844927425094e-26,-0.300946104284856,0.038,0.131,9.80371171222208e-22,"EC","PLAU"
"PPA1.3",9.2735334984881e-26,0.301425584594443,0.484,0.367,1.8946756290761e-21,"EC","PPA1"
"AREG.3",1.2425812060153e-25,-0.693221182440703,0.033,0.121,2.53871766200985e-21,"EC","AREG"
"PLAC9.5",1.33214551026021e-25,-0.772197298564476,0.496,0.51,2.72170649201263e-21,"EC","PLAC9"
"NME4.2",1.88028558056835e-25,-0.26164355312662,0.144,0.265,3.84161146965919e-21,"EC","NME4"
"PPP1R15A.3",2.30442966000702e-25,-0.423560469085641,0.353,0.464,4.70818023836035e-21,"EC","PPP1R15A"
"CNN2",2.72459089035164e-25,-0.255034661709299,0.102,0.213,5.56661164807743e-21,"EC","CNN2"
"AC013461.1.4",4.60387882823515e-25,-0.311554658184792,0.09,0.195,9.40618483396723e-21,"EC","AC013461.1"
"NDFIP1.2",4.86662038564728e-25,-0.274506197663593,0.404,0.519,9.94299210991596e-21,"EC","NDFIP1"
"ENPP2",6.06960564603248e-25,0.255485427725384,0.11,0.046,1.2400811295409e-20,"EC","ENPP2"
"CXCL8.3",1.03035973705495e-24,-1.09364699098994,0.027,0.108,2.10512797877697e-20,"EC","CXCL8"
"ADD3.3",1.05503322793426e-24,-0.361646817513618,0.122,0.23,2.15553838799249e-20,"EC","ADD3"
"RNF24.3",2.19866998196203e-24,-0.29292219471045,0.07,0.168,4.49210264014661e-20,"EC","RNF24"
"ARPC5.4",3.16801135620571e-24,-0.320241822884613,0.541,0.604,6.47256400186389e-20,"EC","ARPC5"
"USP53.2",3.43246515869453e-24,-0.307660906538684,0.06,0.156,7.0128695657288e-20,"EC","USP53"
"HTRA1.2",4.14404086574024e-24,-0.36296516145979,0.212,0.324,8.46668989279389e-20,"EC","HTRA1"
"BTG3.4",4.41890257895836e-24,-0.288180435294291,0.144,0.258,9.02825985906982e-20,"EC","BTG3"
"ILK.3",4.81183904754754e-24,-0.341732270319338,0.322,0.436,9.83106835804438e-20,"EC","ILK"
"GLRX.2",4.90470452087932e-24,-0.288288423211095,0.149,0.268,1.00208018066085e-19,"EC","GLRX"
"C4orf48.3",5.42513850352749e-24,-0.256511232100262,0.099,0.208,1.1084100476557e-19,"EC","C4orf48"
"PHLDA3.4",5.44201763716942e-24,-0.359550605396684,0.108,0.213,1.11185862345008e-19,"EC","PHLDA3"
"DNAJB1.1",5.76959537504823e-24,-0.312712395503716,0.159,0.275,1.1787860310761e-19,"EC","DNAJB1"
"CD82.1",8.4294899562029e-24,-0.26795865614346,0.049,0.14,1.72222909295181e-19,"EC","CD82"
"SUN2.3",9.08241206334366e-24,-0.374780395499474,0.254,0.367,1.85562760866174e-19,"EC","SUN2"
"NDUFA4.4",2.20479394952555e-23,-0.438244263175735,0.814,0.8,4.50461451827565e-19,"EC","NDUFA4"
"UGDH.3",2.96184939359771e-23,-0.284375944683966,0.088,0.187,6.05135449605948e-19,"EC","UGDH"
"DCXR",3.10839013867711e-23,-0.260693697473124,0.137,0.25,6.3507518923312e-19,"EC","DCXR"
"RSRP1",7.70120325030339e-23,-0.310353223697984,0.176,0.291,1.57343283606949e-18,"EC","RSRP1"
"GPM6B.2",9.54230812563481e-23,-0.65115937032568,0.031,0.11,1.94958897314845e-18,"EC","GPM6B"
"CNPY3.2",1.27115236446667e-22,-0.260891881634176,0.135,0.241,2.59709139584186e-18,"EC","CNPY3"
"PYCARD.3",1.3321281883164e-22,-0.296910358624405,0.101,0.201,2.72167110154923e-18,"EC","PYCARD"
"KPNA2",1.72935419572236e-22,0.275511761960764,0.216,0.129,3.53324355728036e-18,"EC","KPNA2"
"ALDH2.3",1.89523807295542e-22,-0.383229769582629,0.256,0.362,3.87216090685522e-18,"EC","ALDH2"
"LINC00152.1",2.24387170960082e-22,-0.256037532109444,0.11,0.218,4.58445428988543e-18,"EC","LINC00152"
"DUSP2.2",4.25948327318987e-22,-0.348907465499473,0.029,0.105,8.70255027545422e-18,"EC","DUSP2"
"MYH10.3",6.28050735779019e-22,-0.437195353171536,0.075,0.164,1.28317045827011e-17,"EC","MYH10"
"HES4.4",9.34957148031187e-22,-0.281823788391706,0.071,0.164,1.91021094914252e-17,"EC","HES4"
"CLEC2D.1",1.32564477246269e-21,-0.350977346624271,0.04,0.118,2.70842483461851e-17,"EC","CLEC2D"
"FADS3.1",1.34028712755612e-21,-0.28021996848075,0.097,0.195,2.73834063030991e-17,"EC","FADS3"
"MT2A.5",1.42136899010839e-21,-1.03921396264123,0.763,0.765,2.90399898369046e-17,"EC","MT2A"
"S100A9.4",3.12937763693569e-21,-1.39877785216049,0.074,0.16,6.3936314500233e-17,"EC","S100A9"
"NUDT4.4",4.50724426937197e-21,-0.347560830662932,0.208,0.316,9.20875076675387e-17,"EC","NUDT4"
"VMP1.2",5.36309822897837e-21,-0.344569564437537,0.286,0.392,1.09573459916257e-16,"EC","VMP1"
"CIB1",1.22864544834713e-20,-0.259576824213683,0.301,0.414,2.51024551551802e-16,"EC","CIB1"
"CEBPD.3",1.34672921092095e-20,-0.682357887169864,0.663,0.642,2.75150245083259e-16,"EC","CEBPD"
"FBXL3.4",2.23395420621268e-20,-0.281249729202019,0.183,0.287,4.56419183871313e-16,"EC","FBXL3"
"RASD1.3",2.33295507037673e-20,-0.425180303891769,0.055,0.138,4.7664605042867e-16,"EC","RASD1"
"FKBP8.2",3.37285003093737e-20,-0.250058422285315,0.431,0.532,6.89106989820815e-16,"EC","FKBP8"
"SELM.5",9.25463673974757e-20,-0.441491358064044,0.69,0.657,1.89081483229783e-15,"EC","SELM"
"FNBP1",1.12664238523381e-19,-0.265356953564576,0.091,0.181,2.3018430572712e-15,"EC","FNBP1"
"AKR1B1.3",1.59261644035838e-19,-0.278003160589329,0.196,0.299,3.25387464929621e-15,"EC","AKR1B1"
"NR4A1.4",2.59609702236815e-19,-0.765877926351105,0.331,0.412,5.30408582640037e-15,"EC","NR4A1"
"STK4.2",4.27119517921747e-19,-0.26981592595299,0.071,0.153,8.7264788706592e-15,"EC","STK4"
"ZNF331",5.97869115118654e-19,-0.329490414028299,0.074,0.156,1.22150638909892e-14,"EC","ZNF331"
"GYG1.2",7.77900218483427e-19,-0.265152470373979,0.202,0.303,1.58932793638349e-14,"EC","GYG1"
"ISCU.2",1.67025271711991e-18,-0.264147875917913,0.476,0.562,3.41249332634769e-14,"EC","ISCU"
"ANGPTL4.4",1.93099867384984e-18,-0.567972594024823,0.136,0.225,3.94522339054261e-14,"EC","ANGPTL4"
"HSP90B1.1",3.31853841774054e-18,-0.263888601878127,0.631,0.675,6.78010584128569e-14,"EC","HSP90B1"
"SLC40A1.2",6.92995476607281e-18,-0.292103080212756,0.112,0.201,1.41585905825634e-13,"EC","SLC40A1"
"RNF130.4",1.03555912899358e-17,-0.281332594782337,0.2,0.295,2.11575085644679e-13,"EC","RNF130"
"IFI6.1",3.26861597341477e-17,0.275827734382223,0.324,0.231,6.67810929528371e-13,"EC","IFI6"
"UGP2.3",7.07379748713512e-17,-0.273001372716587,0.389,0.476,1.44524756459658e-12,"EC","UGP2"
"FBLN2.3",7.77296090072456e-17,-0.342151665403263,0.429,0.259,1.58809364162703e-12,"EC","FBLN2"
"CCL19.1",9.22351450842419e-17,-1.24636248513267,0.04,0.105,1.88445624921615e-12,"EC","CCL19"
