"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SYAP1",0.251065547271393,-0.383807379006051,0.144,0.172,1
"EIF4EBP2",0.251398708251075,-0.386361835354506,0.254,0.265,1
"AP1M1",0.251726986259136,-0.251651052675661,0.085,0.117,1
"ANP32A",0.25175827891167,-0.354664289780757,0.169,0.197,1
"R3HDM4",0.251922908880608,-0.307602814575289,0.102,0.136,1
"RRP7A",0.253801620516013,-0.272485034287352,0.144,0.178,1
"C2orf91",0.254337402084567,-0.312883176143026,0.11,0.141,1
"FAR1",0.256040319619933,-0.266953247430684,0.102,0.13,1
"C3orf62",0.256828647527597,-0.280795237969153,0.076,0.105,1
"GSK3B",0.257930617402633,-0.287657284382968,0.085,0.115,1
"PNPLA8",0.258293126483874,-0.321129736939484,0.076,0.106,1
"STAT3",0.258611422557679,-0.25932023936085,0.28,0.301,1
"FCGRT",0.260286505155956,-0.554695283085444,0.237,0.256,1
"AP3M1",0.261743104270412,-0.276442312647107,0.102,0.135,1
"ANKHD1",0.262403763361227,-0.324944695299094,0.093,0.123,1
"FDPSP2",0.262828022643095,-0.324439480744446,0.085,0.113,1
"ZXDC",0.26346859833772,-0.349167369547256,0.22,0.239,1
"MEA1",0.265069447300085,-0.336484485386378,0.093,0.122,1
"CAMK2G",0.266017469807898,-0.250848861627125,0.102,0.13,1
"FRYL",0.266148824280975,-0.270312424545816,0.153,0.187,1
"TSIX",0.267183754775989,-0.41884290591227,0.449,0.491,1
"TMEM14B",0.268840409917717,-0.320763819721523,0.127,0.156,1
"RBM17",0.268942943967454,-0.347187986132672,0.178,0.199,1
"LOC220729",0.26905191340334,-0.263556422319898,0.102,0.133,1
"LYRM2",0.272953079806962,-0.335177293654956,0.102,0.128,1
"ESRG",0.273317213781376,-0.636434605296896,0.254,0.288,1
"GPI",0.273345678072514,-0.304554288455505,0.212,0.236,1
"ZFAS1",0.273403883191877,-0.292741806326244,0.322,0.351,1
"RBM8A",0.274167321457219,-0.278276432951844,0.093,0.121,1
"NIPAL3",0.275866547771885,-0.25953900962655,0.102,0.129,1
"C8orf59",0.27655388821872,-0.265522053090473,0.127,0.156,1
"ATP5MD",0.276817686237033,-0.258947786662793,0.22,0.253,1
"NXPE3",0.277304524137503,-0.366181194531908,0.203,0.236,1
"GIT2",0.277643161127062,-0.33018346589545,0.136,0.166,1
"PRPF3",0.278076454866662,-0.427448104371268,0.11,0.136,1
"PAFAH2",0.27937157079546,-0.311023136066771,0.076,0.102,1
"HMGB2",0.279482114739277,-0.271446297646589,0.119,0.147,1
"ZNF829",0.281118892682623,-0.2780820884266,0.161,0.188,1
"UHRF2",0.282492059768352,-0.328688810248531,0.085,0.112,1
"PPP6R3",0.283325349420696,-0.323346610639288,0.127,0.152,1
"ATRX",0.284287215664605,-0.32931204455661,0.398,0.397,1
"MFSD10",0.285749030598277,-0.276111424383467,0.11,0.141,1
"OXA1L",0.287536672763362,-0.28985695692527,0.144,0.175,1
"VPS26B",0.287710450446718,-0.271004285428835,0.076,0.104,1
"CBX4",0.28878191651282,-0.38460327807546,0.136,0.163,1
"LDLRAP1",0.290238953259656,-0.287577668516056,0.085,0.111,1
"HNRNPM",0.290907047941319,-0.411319292089319,0.305,0.307,1
"PCMT1",0.291029560314411,-0.293327565155106,0.093,0.121,1
"LYRM7",0.291132948340113,-0.323614516083099,0.195,0.228,1
"STIM1",0.291282197870674,-0.283537557096986,0.085,0.11,1
"PPP3CB",0.293610174138975,-0.312517381676021,0.076,0.101,1
"LINC00550",0.294406896467659,-0.259757797344237,0.127,0.161,1
"S100A10",0.294645936716475,-0.360537614578498,0.5,0.523,1
"ZNF292",0.294916628564225,-0.434062375525051,0.203,0.223,1
"NFKBIA",0.295229111695944,-0.737313076719352,0.271,0.281,1
"MPHOSPH8",0.299789066859507,-0.386173271314369,0.28,0.296,1
"ZNF320",0.300594127869631,-0.251793902762187,0.076,0.102,1
"G3BP2",0.304186180895601,-0.277459014372639,0.161,0.189,1
"HTT",0.305148255925854,-0.264849642207165,0.076,0.1,1
"JOSD1",0.30672079113543,-0.270575247440525,0.102,0.128,1
"ADSL",0.306939026255815,-0.262356339641329,0.076,0.102,1
"SLC30A7",0.308552581167114,-0.347668324328432,0.127,0.153,1
"REST",0.315774381819745,-0.282758516891952,0.136,0.163,1
"TCF25",0.318420233980747,-0.327289823914465,0.22,0.237,1
"ZBTB43",0.320125879517383,-0.313248143065532,0.085,0.108,1
"YME1L1",0.321454810287576,-0.287389119361375,0.237,0.257,1
"PXMP4",0.322465053507432,-0.336447870010931,0.102,0.125,1
"KMT2E",0.322571461980577,-0.434031861672887,0.322,0.331,1
"ZNF566",0.322911041007841,-0.313409564810456,0.102,0.125,1
"CTSD",0.323885531887576,-0.782872283492126,0.373,0.375,1
"UGGT1",0.325781465899696,-0.303065407073153,0.169,0.196,1
"FOXN3",0.325957846532861,-0.278760767212463,0.314,0.319,1
"PPP3CC",0.326829323725178,-0.323001504151665,0.085,0.107,1
"ST3GAL1",0.326964860005165,-0.297170197601184,0.237,0.254,1
"GPR108",0.327242726118793,-0.337128036771184,0.127,0.158,1
"HEXA",0.327365397260503,0.314944406446381,0.119,0.091,1
"ACKR1",0.329286922908368,-0.578783184050054,0.076,0.101,1
"RPS26P11",0.333010716934257,-0.267165364542768,0.102,0.125,1
"VPS53",0.336997453264909,-0.370412665083921,0.195,0.217,1
"PHC3",0.337638290673745,-0.356140819998422,0.203,0.218,1
