"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TWF2.2",1.57937550190335e-46,0.566273457821834,0.492,0.193,3.22682208793873e-42,"Monocyte","TWF2"
"PDE4A.1",2.043289350649e-46,0.392490137848876,0.235,0.058,4.17464447231097e-42,"Monocyte","PDE4A"
"CD58.3",2.29782437532105e-46,0.529656049927441,0.457,0.169,4.69468498121844e-42,"Monocyte","CD58"
"COX7A1.4",2.38714495291493e-46,-1.32550346762314,0.044,0.385,4.8771758533005e-42,"Monocyte","COX7A1"
"MFAP4.5",3.57563610962477e-46,-2.61663275955622,0.061,0.394,7.30538213557438e-42,"Monocyte","MFAP4"
"COL6A1.5",3.74632571309141e-46,-1.57116872850378,0.042,0.383,7.65411806441706e-42,"Monocyte","COL6A1"
"RPL39.3",4.36557071242132e-46,0.348691134900463,0.998,0.976,8.919297522548e-42,"Monocyte","RPL39"
"SOAT1.2",7.02499280212547e-46,0.417394556490542,0.336,0.104,1.43527627940225e-41,"Monocyte","SOAT1"
"UNC93B1.3",1.31816749917078e-45,0.480148000723314,0.373,0.126,2.69314801755581e-41,"Monocyte","UNC93B1"
"CTSZ.4",1.33564859196986e-45,0.475689508350605,0.559,0.238,2.72886363825362e-41,"Monocyte","CTSZ"
"ID3.4",1.72064871788511e-45,-2.06978984300095,0.273,0.562,3.51545739551106e-41,"Monocyte","ID3"
"FGD4.1",1.92287360309458e-45,0.403074631553297,0.228,0.056,3.92862305848254e-41,"Monocyte","FGD4"
"SLC25A5.4",2.37297241524605e-45,0.657548580134142,0.818,0.5,4.84821994158921e-41,"Monocyte","SLC25A5"
"LTBP4.4",2.62581101409281e-45,-1.71980752346087,0.086,0.415,5.36479448289303e-41,"Monocyte","LTBP4"
"PLXDC2.3",2.74896004972261e-45,0.549680164779772,0.434,0.161,5.61640027758826e-41,"Monocyte","PLXDC2"
"DRAM2.5",2.92153246249645e-45,0.570772490879224,0.585,0.261,5.9689829741265e-41,"Monocyte","DRAM2"
"FES.5",2.99117664713358e-45,0.434712593761692,0.319,0.096,6.11127300775861e-41,"Monocyte","FES"
"DOCK8.1",3.74787952755859e-45,0.326310045979167,0.24,0.06,7.65729266275496e-41,"Monocyte","DOCK8"
"MBP.4",4.29298230027286e-45,0.451351219875757,0.357,0.115,8.77099213768747e-41,"Monocyte","MBP"
"ATG16L2",4.46423737204128e-45,0.396396854977368,0.261,0.069,9.12088337481754e-41,"Monocyte","ATG16L2"
"CORO1B.2",4.99347563167216e-45,0.517826793539033,0.587,0.259,1.02021700630694e-40,"Monocyte","CORO1B"
"CD151.4",8.22540679712132e-45,-1.4739923304611,0.329,0.591,1.68053286271986e-40,"Monocyte","CD151"
"NR4A3",9.04109510795622e-45,0.381725689508147,0.186,0.039,1.84718614150654e-40,"Monocyte","NR4A3"
"GSN.5",9.2384904017433e-45,-2.8846453495813,0.793,0.809,1.88751597398017e-40,"Monocyte","GSN"
"PGLS.2",9.5533268097999e-45,0.585455244493507,0.601,0.279,1.95184020051022e-40,"Monocyte","PGLS"
"MIS18BP1.3",9.93462142489282e-45,0.392955270140177,0.322,0.098,2.02974250331985e-40,"Monocyte","MIS18BP1"
"ID2.4",1.0583451730861e-44,0.746445582227278,0.872,0.581,2.16230502313222e-40,"Monocyte","ID2"
"AEBP1.5",1.2711593507423e-44,-2.03298551746134,0.058,0.389,2.59710566950159e-40,"Monocyte","AEBP1"
"RIPK2",1.4115879726975e-44,0.421341651642756,0.263,0.072,2.88401538701827e-40,"Monocyte","RIPK2"
"FXYD1.5",1.58441251700904e-44,-1.72032514241016,0.075,0.402,3.23711321350117e-40,"Monocyte","FXYD1"
"SMCO4.1",2.58476672496089e-44,0.414076783154704,0.268,0.075,5.2809368957676e-40,"Monocyte","SMCO4"
"PRKCDBP.5",2.60333225199003e-44,-1.46175946883645,0.075,0.401,5.31886812404083e-40,"Monocyte","PRKCDBP"
"MEF2C.4",2.64626478440765e-44,0.547035157520813,0.772,0.401,5.40658358102326e-40,"Monocyte","MEF2C"
"CFL1.3",2.64997496903495e-44,0.543571155832948,0.995,0.91,5.41416385923531e-40,"Monocyte","CFL1"
"CELF2.3",3.00413249926231e-44,0.48542668430016,0.503,0.201,6.13774310924284e-40,"Monocyte","CELF2"
"CFH.5",3.01854673534992e-44,-2.50044416863417,0.091,0.414,6.16719283499343e-40,"Monocyte","CFH"
"ADAMTS1.5",3.02215267346424e-44,-2.30655947873732,0.037,0.365,6.17456012715478e-40,"Monocyte","ADAMTS1"
"MARCO.1",3.06857681975677e-44,0.340711079532073,0.166,0.032,6.26940930044505e-40,"Monocyte","MARCO"
"JARID2",3.93397615903455e-44,0.369582594245586,0.228,0.057,8.0375066905235e-40,"Monocyte","JARID2"
"CYR61.4",3.93964685249378e-44,-3.47503165994997,0.147,0.455,8.04909248433005e-40,"Monocyte","CYR61"
"GPR155.1",7.76143506111288e-44,0.364773340972923,0.247,0.065,1.58573879733597e-39,"Monocyte","GPR155"
"RNF166.3",8.00076445408748e-44,0.402956227550134,0.371,0.124,1.63463618561461e-39,"Monocyte","RNF166"
"HSPA6.1",1.13065947593682e-43,0.309704435261252,0.152,0.028,2.31005037528652e-39,"Monocyte","HSPA6"
"DSC2.1",1.22146099731903e-43,0.277710860615225,0.156,0.029,2.49556696362251e-39,"Monocyte","DSC2"
