"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MPEG1",5.35411145973656e-200,0.860095646675089,0.394,0.051,1.09389851233878e-195,"Mono","MPEG1"
"DOK2",1.44492881486604e-199,0.923385842988642,0.467,0.073,2.95213406165281e-195,"Mono","DOK2"
"FGL2",2.13486982422492e-199,1.14318432764436,0.673,0.158,4.36175253787393e-195,"Mono","FGL2"
"VMO1",2.14183883030185e-198,1.37241819271597,0.451,0.07,4.37599091418972e-194,"Mono","VMO1"
"HLA-DQA1",1.70523525741997e-197,2.2178792601906,0.796,0.271,3.48396615443473e-193,"Mono","HLA-DQA1"
"ITGAM",2.59022049594102e-197,0.757858352689794,0.352,0.041,5.29207949525709e-193,"Mono","ITGAM"
"PKIB",6.27804400630063e-197,0.694527431298356,0.199,0.01,1.28266717092728e-192,"Mono","PKIB"
"COTL1",3.65370633943723e-196,1.72825142012271,0.836,0.293,7.46488742210421e-192,"Mono","COTL1"
"CD1D",4.37137564200808e-195,0.635148328364857,0.239,0.017,8.93115757418671e-191,"Mono","CD1D"
"CLEC12A",1.17575746584741e-194,0.668132261628593,0.234,0.016,2.40219007847285e-190,"Mono","CLEC12A"
"RP6-159A1.4",1.40218129766527e-194,0.45860252119965,0.144,0.004,2.86479660925991e-190,"Mono","RP6-159A1.4"
"WAS",4.37290007220763e-194,0.850414634484586,0.496,0.084,8.93427213752741e-190,"Mono","WAS"
"ARPC3",3.31876101372462e-192,1.37037862723233,0.987,0.648,6.78056062714077e-188,"Mono","ARPC3"
"RNASET2",1.20532268527844e-191,1.41201878082852,0.816,0.273,2.46259477829238e-187,"Mono","RNASET2"
"GNA15",1.27815076802388e-190,0.748225312058518,0.37,0.047,2.61138983414959e-186,"Mono","GNA15"
"ALOX5AP",2.27390487884606e-190,1.45008088394173,0.743,0.197,4.64581505797038e-186,"Mono","ALOX5AP"
"PYCARD",2.82238753039831e-190,1.15824934125903,0.653,0.157,5.76641996335679e-186,"Mono","PYCARD"
"CD74",3.28427475553829e-189,1.98371022654228,0.991,0.686,6.71010175304029e-185,"Mono","CD74"
"CKLF",1.47763763975925e-186,1.4539462024557,0.774,0.249,3.01896146179213e-182,"Mono","CKLF"
"PTPN6",5.48178639365572e-185,1.00429417665338,0.536,0.106,1.1199837780878e-180,"Mono","PTPN6"
"FPR2",2.16700326359448e-184,0.513717689076423,0.135,0.003,4.42740436784988e-180,"Mono","FPR2"
"RNASE2",6.06502969974162e-184,0.679660230203361,0.199,0.012,1.23914621795421e-179,"Mono","RNASE2"
"IGSF6",2.76895498466764e-182,0.843267863185032,0.365,0.048,5.65725192917445e-178,"Mono","IGSF6"
"TNFSF13B",3.40088813306025e-182,1.13736090237557,0.608,0.137,6.94835454465539e-178,"Mono","TNFSF13B"
"LGALS9",3.27521294950938e-180,0.912645841432092,0.489,0.089,6.69158757714262e-176,"Mono","LGALS9"
"CSF3R",6.85055587515895e-180,0.57940642964202,0.219,0.016,1.39963707085373e-175,"Mono","CSF3R"
"SAMSN1",7.40218964382476e-179,1.25752588899764,0.597,0.135,1.51234136612984e-174,"Mono","SAMSN1"
"LILRB4",7.71090349698142e-179,0.81747558988111,0.387,0.055,1.57541469346827e-174,"Mono","LILRB4"
"RNF149",9.186749487517e-179,1.28059375629983,0.724,0.218,1.8769447877946e-174,"Mono","RNF149"
"GAPT",2.846056320349e-177,0.52119198972659,0.214,0.015,5.81477766810504e-173,"Mono","GAPT"
"CCL4L2",3.35269030623372e-177,2.31444750112412,0.429,0.074,6.84988156466611e-173,"Mono","CCL4L2"
"IL18",3.85863523114277e-176,0.750992440452864,0.323,0.039,7.8835776407478e-172,"Mono","IL18"
"RBM47",1.00581295860274e-175,0.793143748346899,0.35,0.047,2.05497645572125e-171,"Mono","RBM47"
"EVI2A",1.03205251537927e-173,0.965800034764735,0.56,0.119,2.10858649417138e-169,"Mono","EVI2A"
"MCEMP1",6.32301795319278e-173,0.534300238384793,0.111,0.002,1.29185579801682e-168,"Mono","MCEMP1"
"IL1RN",7.28795653556236e-173,0.857393374468331,0.201,0.013,1.48900239978075e-168,"Mono","IL1RN"
"SDS",2.1113814897787e-172,1.20254200821154,0.274,0.028,4.31376352176686e-168,"Mono","SDS"
"PLD4",1.21113062058004e-171,0.715939621351939,0.261,0.025,2.47446097090707e-167,"Mono","PLD4"
"ACSL1",1.84341885014656e-171,1.14405572899391,0.54,0.117,3.76628905273443e-167,"Mono","ACSL1"
"SGK1",7.28287198555106e-171,1.65483480080171,0.69,0.209,1.48796357536794e-166,"Mono","SGK1"
"CD33",4.02515374723128e-170,0.636450391699752,0.33,0.042,8.22379162096822e-166,"Mono","CD33"
"CCR1",3.77269025606278e-169,0.652424365102669,0.276,0.029,7.70798346216186e-165,"Mono","CCR1"
"CORO1A",7.82843965335989e-169,1.0951685137504,0.801,0.239,1.59942850557796e-164,"Mono","CORO1A"
"C1QC",1.73369762820544e-168,1.83047988228154,0.657,0.178,3.54211762418654e-164,"Mono","C1QC"
"STXBP2",3.64785809824093e-168,1.03799108494399,0.456,0.085,7.45293888051604e-164,"Mono","STXBP2"
"TGFBI",1.1406711306523e-166,1.06296099231578,0.748,0.215,2.33050518703571e-162,"Mono","TGFBI"
"CD53",5.31189581167661e-166,1.04069031371999,0.73,0.202,1.08527343328365e-161,"Mono","CD53"
"S100A9",2.61505190244443e-165,3.69264527285744,0.526,0.124,5.34281254188421e-161,"Mono","S100A9"
"LYN",4.2664647933011e-165,0.878514421201713,0.505,0.102,8.71681421919349e-161,"Mono","LYN"
"IGSF21",6.2211414931561e-165,0.917736143734641,0.369,0.055,1.27104141846672e-160,"Mono","IGSF21"
"MARCH1",8.47738210755152e-165,0.760500816045006,0.381,0.058,1.73201393839385e-160,"Mono","MARCH1"
"FYB",1.20797208458529e-164,0.797375960168652,0.48,0.089,2.46800776601622e-160,"Mono","FYB"
"NPC2",1.96056044092018e-164,1.27250251188922,0.985,0.625,4.00562103684401e-160,"Mono","NPC2"
"FPR3",2.11913184107575e-163,0.750844604306371,0.387,0.06,4.32959826450185e-159,"Mono","FPR3"
"CLEC4A",3.4583558092439e-161,0.563909803079271,0.234,0.021,7.06576675386622e-157,"Mono","CLEC4A"
"TNFRSF1B",2.03357892987957e-158,1.02052268526134,0.624,0.16,4.15480511163695e-154,"Mono","TNFRSF1B"
"C1QA",1.24763812486494e-157,1.68318305951182,0.71,0.228,2.54904945291155e-153,"Mono","C1QA"
"ADGRE2",2.72111649819426e-157,0.548543506669163,0.23,0.021,5.55951311746069e-153,"Mono","ADGRE2"
"HMOX1",2.53812948326164e-156,0.794088368187042,0.389,0.064,5.18565234725186e-152,"Mono","HMOX1"
"CAPG",4.34247178839306e-155,1.15968312947885,0.635,0.176,8.87210411086586e-151,"Mono","CAPG"
"AP1S2",5.98633908877565e-155,1.31959515039498,0.726,0.251,1.22306893922775e-150,"Mono","AP1S2"
"SLC16A3",2.44644480581054e-154,1.14285084374554,0.599,0.16,4.99833138275152e-150,"Mono","SLC16A3"
"CXorf21",2.73613307667806e-154,0.692579493737752,0.257,0.028,5.59019348896094e-150,"Mono","CXorf21"
"CCL3",1.26874037945409e-153,2.40213997953924,0.496,0.117,2.59216346926265e-149,"Mono","CCL3"
"FGR",1.90405103679445e-153,0.820576240011394,0.358,0.056,3.89016667327474e-149,"Mono","FGR"
"FERMT3",4.75849888669845e-153,0.8537243037455,0.551,0.127,9.72208907541361e-149,"Mono","FERMT3"
"CCL4",6.13431249004972e-152,2.07347123022192,0.542,0.141,1.25330138484206e-147,"Mono","CCL4"
"LINC01272",8.47742174404935e-152,0.778519268236243,0.188,0.014,1.73202203652672e-147,"Mono","LINC01272"
"PMAIP1",8.83496915844624e-152,0.940872085982291,0.387,0.066,1.80507254876215e-147,"Mono","PMAIP1"
"HAVCR2",1.22642606288069e-151,0.674122330457899,0.341,0.05,2.50571108907153e-147,"Mono","HAVCR2"
"MIR3945HG",3.03573867234764e-151,0.574778774747735,0.208,0.018,6.20231768147347e-147,"Mono","MIR3945HG"
"FCGR1B",7.3275436295804e-151,0.834828316221315,0.31,0.042,1.49709043895957e-146,"Mono","FCGR1B"
"PARVG",8.93052344501388e-151,0.691740413515956,0.338,0.05,1.82459524505078e-146,"Mono","PARVG"
"LILRA2",1.60076891929387e-150,0.451480146153924,0.168,0.01,3.27053097900931e-146,"Mono","LILRA2"
"GPSM3",2.20762737260681e-149,0.97868262960466,0.699,0.202,4.51040348497298e-145,"Mono","GPSM3"
"C15orf48",1.87899836691882e-147,0.789638331473618,0.208,0.018,3.83898156345184e-143,"Mono","C15orf48"
"UCP2",5.31864419858362e-147,0.982993005133549,0.624,0.166,1.08665219621262e-142,"Mono","UCP2"
"C1QB",1.25367498515662e-146,1.71967979258413,0.679,0.22,2.56138336217349e-142,"Mono","C1QB"
"FCGR2B",2.66356629018286e-146,1.27086801054738,0.405,0.079,5.4419322874726e-142,"Mono","FCGR2B"
"ADAP2",4.60865195713563e-145,0.739387305253846,0.372,0.063,9.41593681362381e-141,"Mono","ADAP2"
"RIN3",1.09722399482886e-143,0.644307562545571,0.338,0.052,2.24173834383484e-139,"Mono","RIN3"
"SYK",2.50578861222741e-143,0.653807045143389,0.314,0.046,5.11957671364183e-139,"Mono","SYK"
"PTPRC",5.09043345680491e-143,0.78573417271915,0.719,0.201,1.04002645955981e-138,"Mono","PTPRC"
"OGFRL1",1.74628238668874e-142,0.744160148940668,0.385,0.069,3.56782954424377e-138,"Mono","OGFRL1"
"TLR1",2.13997382401112e-141,0.589828336181468,0.252,0.029,4.37218051983711e-137,"Mono","TLR1"
"RP11-561B11.3",2.78033610861914e-141,0.330620572323813,0.126,0.005,5.68050470351977e-137,"Mono","RP11-561B11.3"
"FAM105A",5.43744788240032e-140,0.70615377155148,0.345,0.056,1.11092497685321e-135,"Mono","FAM105A"
"GRN",3.93354619766332e-139,1.24025266711335,0.858,0.441,8.03662823644594e-135,"Mono","GRN"
"HIF1A",5.71153932768251e-139,1.2852657949383,0.783,0.321,1.16692460003881e-134,"Mono","HIF1A"
"GPAT3",8.82391796751494e-139,0.659153440198952,0.248,0.029,1.80281467994298e-134,"Mono","GPAT3"
"IFIT2",9.31992121191868e-139,1.48892715033449,0.367,0.066,1.90415310280711e-134,"Mono","IFIT2"
"IL10RA",3.39256611323643e-138,0.804317810865217,0.496,0.113,6.93135182595334e-134,"Mono","IL10RA"
"IGFBP7",1.6769685358757e-137,-4.23675085392016,0.498,0.8,3.42621441564765e-133,"Mono","IGFBP7"
"RETN",1.73175840417229e-137,0.467085534497431,0.113,0.004,3.53815559556441e-133,"Mono","RETN"
"CTSH",2.22219089587131e-137,1.07694941989428,0.765,0.288,4.54015821935467e-133,"Mono","CTSH"
"MRC1",2.77778157945478e-137,0.955374914055835,0.418,0.082,5.67528554498405e-133,"Mono","MRC1"
"CD37",2.86064771554598e-137,0.764003268394272,0.717,0.212,5.844589347632e-133,"Mono","CD37"
"IL1R2",4.70922694377334e-136,0.611705630743013,0.153,0.01,9.62142156882332e-132,"Mono","IL1R2"
"TLR2",4.91496815318965e-136,0.533512100836855,0.263,0.033,1.00417714337818e-131,"Mono","TLR2"
"TNF",7.73630898488303e-136,1.13063853308859,0.301,0.045,1.58060528870145e-131,"Mono","TNF"
"HCAR3",5.16747955591853e-134,0.489328699457686,0.124,0.006,1.05576774806971e-129,"Mono","HCAR3"
"PTAFR",9.17999963198186e-134,0.644339222828614,0.328,0.053,1.87556572481021e-129,"Mono","PTAFR"
"ADAM28",1.69758502500588e-133,0.742889723692875,0.338,0.057,3.46833596458952e-129,"Mono","ADAM28"
"GPR65",1.05009289070495e-131,0.722597061299114,0.358,0.063,2.14544478499929e-127,"Mono","GPR65"
"REL",2.67466552474382e-131,0.859251124151184,0.56,0.148,5.4646091336041e-127,"Mono","REL"
"OSCAR",3.82768637338541e-131,0.401645450949837,0.177,0.014,7.82034602946372e-127,"Mono","OSCAR"
